Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupancy,Set Point
1,1,1,0,20.36907588241773,,46.1754157474352,0.5584658026848832,0.0,0,3.755235530677397,0.0,1.0,18.33333333333333
1,2,1,0,20.20265598580425,,46.67006502504377,0.6071859759726961,0.0,0,3.6485178834401664,0.0,1.0,18.33333333333333
1,3,1,0,20.08892467919829,,47.0198360630123,0.554085922753121,0.0,0,3.675853904526412,0.0,1.0,18.33333333333333
1,4,1,0,19.995421498744086,,47.25309885919023,0.5806015284690325,0.424653641673101,0,3.847442200108213,0.0,1.0,18.33333333333333
1,5,1,0,19.900261487270093,,47.49150875912524,0.6816025705639133,0.0,0,3.955984735761187,0.0,1.0,18.33333333333333
1,6,1,0,19.82915712760275,,47.58218495686789,0.8158351076229619,0.0,0,4.046658382781978,0.0,1.0,18.33333333333333
1,7,1,0,19.792198599197363,,47.71610424832191,0.8474468936948927,0.0,0,3.83049446877066,0.0,0.0,18.33333333333333
1,8,1,0,19.707874031941564,,47.74083770294344,0.8184260245643377,0.0,0,4.715055105594653,0.0,0.0,18.33333333333333
1,9,1,0,19.690931018689405,,47.88841279955772,1.0572321477156157,0.0,0,3.466689826910231,36.5188,0.0,18.33333333333333
1,10,1,0,19.66760483349633,,48.03773273789445,1.2559227834573068,0.0,0,2.486487875306201,136.43800000000002,0.0,18.33333333333333
1,11,1,0,19.65411451832738,,48.09984714476684,1.275270099060585,0.0,0,1.2846128545929782,239.601,0.0,18.33333333333333
1,12,1,0,19.61262115496008,,48.248113559515474,1.234420457281168,0.0,0,0.3838479415566701,317.212,0.0,18.33333333333333
1,13,1,0,19.57757305136028,,48.37587341542729,1.2294071777413949,0.0,0,0.0,330.609,0.0,18.33333333333333
1,14,1,0,19.568593212137937,,48.45821940334823,1.0464643378006429,0.0,0,0.0,313.063,0.0,18.33333333333333
1,15,1,0,19.54906859276774,,48.57288688509594,1.029998575884797,0.0,0,0.0,255.509,0.0,18.33333333333333
1,16,1,0,19.522558942484697,,48.742867864854304,1.0632342807013762,0.0,0,0.0,154.892,0.0,18.33333333333333
1,17,1,0,19.46380345528172,,48.95429898296309,1.2234866374222813,0.0,0,0.0,43.073,0.0,18.33333333333333
1,18,1,0,19.43056507612829,,49.09434337687487,1.1340804733400147,0.0,0,0.1710703256335891,0.0,0.0,18.33333333333333
1,19,1,0,19.34478118027426,,49.39808904102715,0.8432891639911975,0.0,0,0.7705488133600915,0.0,0.0,18.33333333333333
1,20,1,0,19.42619015431349,,49.16623988804059,0.782524113482699,0.0,0,1.4476963556025084,0.0,0.0,18.33333333333333
1,21,1,0,19.37117780811572,,49.35306293408547,0.7156960631373951,0.0,0,1.868277801626729,0.0,0.0,18.33333333333333
1,22,1,0,19.36727069107308,,49.35225944364514,0.6715390402568637,0.0,0,2.680932392790233,0.0,0.0,18.33333333333333
1,23,1,0,19.33837392958293,,49.31794058947766,0.5775890728279961,0.0,0,3.3894446053840546,0.0,0.0,18.33333333333333
1,24,1,0,19.34427417323237,,49.31109038986795,0.5674318839874182,0.0,0,3.240213024569199,0.0,0.0,18.33333333333333
1,1,2,0,19.32301166709442,,49.33754515946087,0.5584658026848832,0.0,0,3.677624771663021,0.0,0.0,18.33333333333333
1,2,2,0,19.32020191822364,,49.243421196571205,0.6071859759726961,0.0,0,3.6999074837651422,0.0,0.0,18.33333333333333
1,3,2,0,19.304631744058423,,49.2157377701797,0.554085922753121,0.0,0,3.974023147162532,0.0,0.0,18.33333333333333
1,4,2,0,19.28540172707525,,49.0816485355184,0.5806015284690325,0.0,0,4.155378868716074,0.0,0.0,18.33333333333333
1,5,2,0,19.271864148397523,,48.8875309510966,0.6816025705639133,0.0,0,4.256957198115488,0.0,1.0,18.33333333333333
1,6,2,0,19.26635278988651,,48.73196674993566,0.8158351076229619,0.0,0,4.1643546203671065,0.0,1.0,18.33333333333333
1,7,2,0,19.26134951484201,,48.64819528898154,0.8474468936948927,5.408325297535482,0,3.0842853900830165,0.0,1.0,18.33333333333333
1,8,2,0,19.254940045341044,,48.66218927109543,2.0529508278934294,0.2831601617763619,0,3.1268115004960206,0.0,1.0,18.33333333333333
1,9,2,0,19.245623549867645,,48.73883430143916,2.373545546837396,1.1868307046110236,0,1.7333947905214355,35.8227,1.0,18.33333333333333
1,10,2,0,19.26046120007329,,48.72127632202101,2.605577338379256,0.0,0,1.6793322608941046,117.63,1.0,18.33333333333333
1,11,2,0,19.242698961854977,,48.80344102467389,2.589333223273387,0.0,0,1.174428107316995,141.58599999999998,1.0,18.33333333333333
1,12,2,0,19.23675050592514,,48.85716610755361,2.5081432891254574,0.0,0,0.7571210512996851,119.9,1.0,18.33333333333333
1,13,2,0,19.23322798493197,,48.92443353188371,2.476149792261897,0.0,0,0.4071481913448054,107.149,1.0,18.33333333333333
1,14,2,0,19.21317771277736,,48.99833865696594,1.0464643378006429,0.8498039838916922,0,0.9454827722132104,96.1124,1.0,18.33333333333333
1,15,2,0,19.20724223327512,,49.05116940670888,2.2699020226710744,0.0,0,0.4985537061019131,57.497,1.0,18.33333333333333
1,16,2,0,19.203888382934657,,49.19333960683791,1.0632342807013762,0.0,0,1.2275954422452753,34.8821,0.0,18.33333333333333
1,17,2,0,19.20336901262275,,49.2609018342599,1.2234866374222813,2.1241515015758377,0,1.350059416032105,9.26777,0.0,18.33333333333333
1,18,2,0,19.202029649039467,,49.28313568741436,1.1340804733400147,0.0,0,1.7928862191113573,-0.0,0.0,18.33333333333333
1,19,2,0,19.19314321053303,,49.30943846152419,0.8432891639911975,0.0,0,2.1167594365446583,0.0,0.0,18.33333333333333
1,20,2,0,19.18136565521844,,49.2603287154569,0.782524113482699,0.0,0,2.3894874082838324,0.0,0.0,18.33333333333333
1,21,2,0,19.184563055310456,,49.22095403207022,0.7156960631373951,0.0,0,2.2760951242148915,0.0,0.0,18.33333333333333
1,22,2,0,19.171300043681,,49.51823727450645,0.6715390402568637,4.390612854064708,0,0.0,0.0,0.0,18.33333333333333
1,23,2,0,19.169386995026954,,49.733343278740485,0.5775890728279961,0.0,0,2.6251298993002474,0.0,1.0,18.33333333333333
1,24,2,0,19.16377266888395,,49.7444144667962,0.5674318839874182,0.0,0,2.852523345031132,0.0,1.0,18.33333333333333
1,1,3,0,19.150643244736848,,49.7721968157092,0.5584658026848832,0.0,0,3.2300194334294576,0.0,1.0,18.33333333333333
1,2,3,0,19.15424732772436,,49.81502395186372,0.6071859759726961,0.0,0,3.105285465651439,0.0,1.0,18.33333333333333
1,3,3,0,19.14557495783692,,49.80545087489648,0.554085922753121,0.0,0,3.39417536903138,0.0,1.0,18.33333333333333
