Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW)
6,1,5,0,20.996408412113205,,98.78014631948062,0.61230596798586,0.0,4.482382248838644,0,0.0
6,2,5,0,20.950813071701035,,99.68282606209618,0.6088126908408211,0.0,3.485780442283968,0,0.0
6,3,5,0,20.96851542209276,,99.719298748791,0.6064137887006964,0.0,2.826834818451128,0,0.0
6,4,5,0,20.99877694983242,,99.69168463755892,0.6036500948922671,0.0,2.4959491348880345,0,0.0
6,5,5,0,21.02493024596518,,99.76584213094668,0.6001568177472281,0.0,2.4421014509581,0,0.0
6,6,5,0,21.039917686850167,,99.99697383818727,0.6312545335987191,2.2986468140292966,3.5953051631020445,0,0.0
6,7,5,0,21.61962467623676,,96.59941195238711,0.7036930300491073,0.0,1.8488414908650328,0,36.2606
6,8,5,0,22.220246416854017,,93.52864214292842,1.0297535493828691,1.688264280190383,2.688719490275433,0,59.6028
6,9,5,0,22.22925556472499,,93.50391205761515,0.7720175250762998,0.0,1.989926924037456,0,191.336
6,10,5,0,22.23452858180909,,93.52897755257564,1.094676772289659,0.0,2.663218532592852,0,334.93600000000004
6,11,5,0,22.22957742099571,,94.0479863302939,10.835354603999436,0.0,4.201789129175571,0,484.69
6,12,5,0,23.60821794635858,,86.6260155618459,0.7548695312851124,0.0,2.0192147898479424,0,654.462
6,13,5,0,24.46651102364548,,82.31835138036027,0.7609693902285009,0.0,1.822180368064195,0,702.915
6,14,5,0,24.267626848954816,,83.35925181761893,0.761715900907783,0.0,2.62041020548693,0,689.915
6,15,5,0,22.191667596400155,,94.48997545018015,0.7570244178163267,0.0,5.172609120542908,0,649.424
6,16,5,0,22.00599915020505,,95.38444538662549,0.7675545093610008,0.0,5.447564565635956,0,576.3249999999999
6,17,5,0,21.548722317393388,,98.05111297169664,0.7915812026057082,1.3342951144275157,5.947564389811106,0,449.733
6,18,5,0,21.89522779661774,,95.88414937721214,0.8369818477097604,1.7751646117611029,5.470578581703676,0,306.236
6,19,5,0,23.034295675447936,,89.3636599509839,1.0870866425919117,0.444790572132803,4.023137961524547,0,128.73299999999998
6,20,5,0,23.298054498040013,,87.82811833190651,1.4400217873000962,0.1405864151668069,3.63106960183183,0,5.17938
6,21,5,0,24.04169649661221,,83.90210363855259,0.9009347728630108,0.0,2.571872256988621,0,0.0
6,22,5,0,24.45003837347253,,81.95692905660623,0.934981760132137,0.0,2.409098384258584,0,0.0
6,23,5,0,23.95766941237469,,84.48953225586595,0.6588359590907259,0.0,2.442294647869579,0,0.0
6,24,5,0,21.71957392086893,,96.9937187157148,0.6183527868090324,0.4442810606504391,4.204273204326826,0,0.0
6,1,6,0,20.992025562452923,,99.43877754119136,0.61230596798586,0.0,3.952238193036944,0,0.0
6,2,6,0,20.98629899573536,,99.87603510776032,0.6088126908408211,0.0,3.105937347054754,0,0.0
6,3,6,0,21.00728331474604,,99.8934309870152,0.6064137887006964,0.0,2.647610651237604,0,0.0
6,4,6,0,21.027632308656298,,99.97562875204984,0.6036500948922671,0.0,2.368487073584705,0,0.0
6,5,6,0,21.045336294398275,,100.0,0.6001568177472281,0.0,2.317753758436865,0,0.0
6,6,6,0,21.05476948129111,,99.99988791183792,0.6353595187804607,0.0,2.039391292051303,0,0.0
6,7,6,0,21.61254938479098,,96.84896081582944,0.7036930300491073,0.0,1.671917288618617,0,24.712
6,8,6,0,22.214106496927805,,93.49159863014816,0.7713510830575906,0.0,1.6371522730631525,0,123.047
6,9,6,0,22.2296606732402,,93.39749050209814,0.7720175250762998,0.0,2.30427471190053,0,329.819
6,10,6,0,22.23387674227613,,93.47228460821178,0.7604106728280142,1.3247406748076582,3.063292998021841,0,471.405
6,11,6,0,22.229091861897043,,93.50804639974506,0.7542181949743372,0.0,3.301053206704521,0,593.637
6,12,6,0,23.606329709837805,,86.15071438224359,0.7548695312851124,0.4409822866335472,2.041962891390257,0,650.986
6,13,6,0,24.465686622487148,,81.82869074619235,0.7609693902285009,0.0,1.9927862635093416,0,679.3249999999999
6,14,6,0,24.266326379268648,,82.73329549045609,0.761715900907783,0.0,2.730080585119313,0,682.605
6,15,6,0,22.187828823624848,,93.81827819048792,0.7570244178163267,0.0,5.334145107783793,0,636.5039999999999
6,16,6,0,21.97370575384152,,94.81714070796605,0.7675545093610008,0.0,5.350425728131209,0,558.976
6,17,6,0,21.56530395370764,,97.11844719401287,0.9616256203333622,0.4427617480255366,6.092555665589556,0,445.26
6,18,6,0,21.92367071197308,,94.84973135566511,1.037724218624702,0.0,5.607466186238013,0,306.271
6,19,6,0,23.060881633975853,,88.39117273830483,1.0870866425919117,0.4408062612464902,4.183212704317823,0,130.131
6,20,6,0,23.31771990359102,,87.34945420946377,2.634419081813672,0.0,3.8497317763754872,0,7.20362
6,21,6,0,24.057520516323333,,83.81650425903945,1.1614627210418411,0.0,2.8812207796468665,0,0.0
6,22,6,0,24.462553330972508,,81.87361460205365,1.2326851810568276,0.0,2.7171808067434884,0,0.0
6,23,6,0,23.96734284286212,,84.46836609300935,0.8658516966794129,0.0,2.749066929818856,0,0.0
6,24,6,0,21.72543116453918,,96.9356039634952,0.6183527868090324,0.0,4.344517306526455,0,0.0
6,1,7,0,21.000549976274627,,99.56841553220008,0.61230596798586,0.0,4.091376256125288,0,0.0
6,2,7,0,20.992930527943937,,99.92971710949617,0.6088126908408211,0.0,3.164829596632868,0,0.0
6,3,7,0,21.01236147289008,,99.9923474795361,0.6064137887006964,0.0,2.6621534666115902,0,0.0
6,4,7,0,21.031411149101068,,99.99086872979429,0.6036500948922671,0.0,2.354294359494133,0,0.0
6,5,7,0,21.048051652426857,,100.0,0.6001568177472281,0.0,2.2998525291893395,0,0.0
6,6,7,0,21.058171110885176,,100.0,0.6312545335987191,0.0,1.9838817420954984,0,0.0
6,7,7,0,21.610238536303484,,96.8270196532811,0.608602538710525,0.0,1.464846264487638,0,22.7839
6,8,7,0,22.211948202522187,,93.48255585014164,0.6148595096639934,0.0,1.3263609022005125,0,99.4636
6,9,7,0,22.22795905635146,,93.53682579410214,0.9315189300364436,0.0,1.866534808980571,0,199.359
6,10,7,0,22.23407584714637,,93.63729079241602,0.7604106728280142,0.0,2.334140857852116,0,355.418
6,11,7,0,22.22908169334724,,93.79903370030318,0.7542181949743372,0.0,2.8675569594993515,0,519.081
6,12,7,0,23.606546366558703,,86.5034990437433,0.8567804242167936,0.0,1.8697732129184768,0,576.489
6,13,7,0,24.466773869774705,,82.20129124610936,0.6112671055732328,0.0,1.667267424987385,0,606.3779999999999
6,14,7,0,24.265318748724187,,83.27214371995795,0.761715900907783,0.0,2.573620764216441,0,650.202
6,15,7,0,22.18786147326428,,94.49741609619376,0.7570244178163267,0.0,5.029914758532433,0,601.943
6,16,7,0,21.980283750147727,,95.6872484506775,0.7675545093610008,0.8803461854976494,5.243909449699276,0,468.809
6,17,7,0,21.575064013754226,,98.07503522269307,0.7915812026057082,0.0,5.523872714867425,0,395.849
6,18,7,0,21.92861123785547,,95.99529842535225,0.8369818477097604,0.438264980136771,4.855972295791013,0,234.646
6,19,7,0,23.05654903307325,,89.72561439230849,0.8658859201750138,0.0,3.24267894019398,0,77.8108
6,20,7,0,23.317783680000083,,88.32340261357272,0.8735511239947688,0.0,2.935694459167359,0,5.66598
6,21,7,0,24.05407847584436,,84.58460562454552,0.9009347728630108,0.0,2.3385468960265534,0,0.0
6,22,7,0,24.46348544235041,,82.5943839845278,0.934981760132137,1.3190391613656414,2.46258834801533,0,0.0
6,23,7,0,23.96157362440171,,85.46311288021596,0.8658516966794129,2.2024905797522245,3.9909621252990153,0,0.0
6,24,7,0,21.73763726864963,,97.84953891103748,0.6183527868090324,0.0,4.014385303640971,0,0.0
6,1,1,0,20.98634610557773,,99.99965710646468,0.61230596798586,0.0,3.638778224133093,0,0.0
6,2,1,0,20.996858293019525,,99.95997585548712,0.6088126908408211,0.0,2.747845510467222,0,0.0
6,3,1,0,21.01685510689025,,99.91279178147168,0.6064137887006964,0.0,2.2936644298069018,0,0.0
6,4,1,0,21.034522619738816,,99.91669874210254,0.6036500948922671,0.0,2.0192980181745552,0,0.0
6,5,1,0,21.051426766385063,,99.537256033897,0.6001568177472281,0.0,1.9466357233317504,0,0.0
6,6,1,0,21.060132033457048,,99.48021759319892,0.6312545335987191,0.0,1.7142990958528934,0,0.0
6,7,1,0,21.60647918327772,,96.42329254419876,0.608602538710525,0.0,1.2103259270605886,0,13.9204
6,8,1,0,22.212805611986425,,93.2995562292515,0.6148595096639934,0.0,0.9844306028861564,0,52.3156
6,9,1,0,22.227539328094466,,92.6317678456247,0.612516120116156,0.0,1.2776817288654594,0,131.323
6,10,1,0,22.240309140397446,,92.39552121185312,0.7604106728280142,0.0,1.5488240135250104,0,168.21
6,11,1,0,22.233610585533665,,92.14028255470711,0.7542181949743372,0.0,1.758335625605657,0,237.691
6,12,1,0,23.60476320015113,,85.02390943314911,0.7548695312851124,0.0,0.7902500942651313,0,123.337
6,13,1,0,24.470857821189096,,80.94066581215112,0.7609693902285009,0.0,0.5981671926211845,0,152.557
6,14,1,0,24.16890398110295,,82.45535593723412,0.761715900907783,0.0,1.1678826612401936,0,147.46300000000002
6,15,1,0,22.282768643553705,,92.3553445254162,0.7570244178163267,0.0,3.2940087856026694,0,388.284
6,16,1,0,22.00900649031423,,93.77572289923955,0.7675545093610008,0.0,3.619718837099896,0,409.573
6,17,1,0,21.60326635010499,,96.16427014889004,0.7915812026057082,0.442340407938405,4.130734480268199,0,379.067
6,18,1,0,21.952276284412417,,94.03786472304296,0.6362394767948191,0.4382758619182391,3.6425961591477263,0,251.469
6,19,1,0,23.086027781730245,,87.81786967430979,0.6446851977581161,1.744979398955611,2.535249638030738,0,118.515
6,20,1,0,23.34003790760857,,86.5200221348471,0.8735511239947688,1.7473519008794194,2.324137046194279,0,7.783639999999999
6,21,1,0,24.07228335054486,,82.83423575466604,1.1614627210418411,0.8801730341836314,1.889986972148065,0,0.0
6,22,1,0,24.48277717548476,,81.16623649899279,1.2326851810568276,2.1080928589843166,3.144974627384612,0,0.0
6,23,1,0,23.97108353683898,,84.54647852719678,0.8658516966794129,4.027118138194743,5.442825170410036,0,0.0
6,24,1,0,21.73137799209692,,98.010592871348,0.6863862942146023,0.0,3.622693007651384,0,0.0
6,1,2,0,21.000639105876303,,98.93278119890792,0.6263492921958836,0.0,3.459436939704887,0,0.0
6,2,2,0,20.98958022415845,,97.71669761829077,0.591891744001909,0.0,2.602469455231885,0,0.0
6,3,2,0,21.01717621117411,,97.8351296445385,0.6064137887006964,0.0,2.1854591587779795,0,0.0
6,4,2,0,21.035769658176307,,97.88308043389873,0.6036500948922671,0.0,1.9541458679579544,0,0.0
6,5,2,0,21.05304711894991,,98.19464022758416,0.6001568177472281,0.0,1.9033129097378727,0,0.0
6,6,2,0,21.063308696880902,,98.5143236005306,0.6312545335987191,0.0,1.6877238211915573,0,0.0
6,7,2,0,21.64591800069637,,95.5279533052434,0.608602538710525,2.212270683338705,2.9594418465804555,0,38.0288
6,8,2,0,22.2190659914095,,92.50055488834532,0.927842656451188,1.074997221096585,2.479312801020531,0,183.988
6,9,2,0,22.23493692544437,,92.51183347518268,0.9315189300364436,0.0,2.4648707700163075,0,352.396
6,10,2,0,22.238596081194565,,92.93322284179322,0.9123179338912248,1.877557900967113,4.177642770076936,0,487.718
6,11,2,0,22.23286523322472,,93.06861480511029,0.9019670886556906,0.0,3.293410304592137,0,593.264
6,12,2,0,23.60854931785932,,86.0248066801056,2.2835329252603325,0.0,2.3427349117954126,0,654.383
6,13,2,0,24.46965591478672,,81.75525075066217,0.7609693902285009,0.8752201520625804,1.9659855251787568,0,688.261
6,14,2,0,24.268833638375884,,82.70901479812389,0.761715900907783,0.0,2.658456051294684,0,682.727
6,15,2,0,22.199971527590307,,93.63086749060352,0.7570244178163267,0.4336330223835949,5.042465557743034,0,580.0889999999999
