dhw_storage,electrical_storage,cooling_or_heating_device
0.31526634,0.08731504,0.2817428
-0.13528934,0.0671265,0.1679431
0.06026658,0.03392832,-0.19019337
-0.24127372,0.050229095,-0.14963384
-0.21177943,0.010313637,-0.2016338
-0.307686,0.0064963293,-0.14788042
-0.2876325,-0.009998822,-0.13955665
-0.2523223,-0.05608436,-0.025463082
-0.22642872,-0.03820212,-0.041225724
-0.21717352,-0.05435275,-0.014436075
-0.18697146,-0.035970286,-0.06391461
-0.045837354,-0.01890785,0.11463998
-0.09231806,-0.029061463,0.1337409
-0.06866029,-0.05129048,0.19984207
0.20298876,-0.065574475,0.2949315
0.030834036,-0.01666966,-0.033171415
0.079254605,-0.04163603,-0.08977655
-0.06336137,-0.03817185,-0.11869243
0.23227264,-0.080386385,-0.2875721
0.14641087,-0.079432614,-0.3039578
0.23497225,-0.07677319,-0.12504207
0.27797452,-0.1041666,-0.14622536
0.16612998,-0.100265235,-0.03139493
0.2720582,-0.11083142,-0.13603525
0.1349294,-0.03750798,0.34655944
0.20394622,-0.07678925,0.2689416
0.24369638,-0.05662765,-0.24138844
0.3211288,-0.07293725,0.265476
0.31588688,-0.057969663,0.0165976
0.3510974,-0.012338602,-0.26121014
-0.017910764,0.036219947,0.39821517
0.20640741,-0.06480968,0.11698862
0.27938542,-0.05075495,-0.13430598
0.09687534,-0.074763134,-0.043856453
0.31798714,-0.015031333,-0.28134716
0.19655696,-0.08366599,-0.112190865
0.2850131,-0.08825288,-0.2794368
-0.04561451,-0.099405125,-0.31046847
0.13319223,-0.0737585,-0.38139212
0.022056991,-0.09417378,-0.20935513
0.23497003,-0.07554833,-0.28652215
0.043340765,-0.10175309,-0.23603572
0.17866965,-0.0871918,-0.24832448
0.22338356,-0.09553281,-0.41458452
0.21848042,-0.024720764,-0.11070282
0.28449687,-0.063285425,-0.39817074
0.13166602,-0.06555796,0.11782254
0.23796633,-0.07691795,0.047963582
0.33183348,-0.07212566,-0.2630914
0.19473794,-0.036579538,0.08910052
0.30420053,-0.027623875,-0.082406156
0.17458801,-0.009513368,0.010106112
-0.01480578,-0.01561193,-0.04737141
0.1609077,0.09352276,0.3839405
-0.37043774,-0.0066046705,-0.24277386
-0.3460792,-0.049155857,0.36751777
-0.10094382,-0.03459134,-0.2447803
0.21182998,-0.018446887,-0.09773249
0.34368876,-0.021377077,-0.40811133
0.24809794,-0.08025304,-0.1374706
0.24555035,-0.045124225,-0.44749624
0.09647921,-0.05815446,-0.09303297
0.38420817,-0.03858788,0.0006820863
0.20580555,-0.0065550725,-0.17648481
0.09831098,-0.024419922,-0.3995693
-0.05801377,-0.044688918,-0.3293
0.090188995,-0.041900408,-0.2601626
-0.03137148,-0.012424874,-0.3788458
0.12512566,-0.0056621158,-0.32887775
0.107173406,0.025148848,-0.22551252
0.09634583,-0.00029178386,-0.17694433
0.21191919,-0.05056558,-0.24005164
-0.06136747,-0.0001734357,0.15679553
0.15500626,-0.04908256,-0.10484311
0.10460409,-0.050104655,-0.1525785
-0.045072872,-0.08519833,-0.15465537
-0.020061804,-0.08661838,0.20224614
0.18362641,-0.059166733,-0.33006623
0.19200534,-0.06896207,0.27263862
0.033676263,-0.035351593,0.07122393
-0.014272344,-0.04873672,0.041703336
0.24275188,-0.07766459,0.03579285
0.28182492,-0.08211241,-0.020229653
0.32038248,-0.10145174,-0.28083533
0.19635293,-0.043711178,0.00347611
0.2524978,-0.09280071,0.0022322917
0.22673684,-0.077095985,-0.123617396
0.17688832,-0.07359495,-0.035839405
0.14922512,-0.10459911,-0.036910977
0.23020406,-0.09818926,-0.23393215
-0.102659896,-0.064389706,0.24427165
0.0855022,-0.08911572,0.09297207
0.3727845,-0.1018624,-0.29771307
-0.095669836,-0.04298606,0.42789772
0.16934289,-0.029829001,0.22639534
0.35188216,-0.095812336,0.17250814
-0.2833959,-0.10232075,0.3804672
-0.16620503,-0.06860024,0.20347121
-0.06244308,-0.08125209,0.07354649
0.03343856,-0.09741417,0.1607637
0.07530886,-0.012082722,0.24873084
-0.06762748,0.006257214,0.11226007
-0.3243068,-0.06147171,0.29480147
0.094654284,-0.031725924,0.2048395
0.19500618,-0.06611635,0.21448706
0.24735631,-0.070414715,0.06249092
0.34964058,-0.053835385,-0.25605413
0.33130288,-0.020872438,0.3864546
0.32096887,-0.032680538,-0.4351233
0.26400518,-0.014328954,-0.19779678
0.31603336,-0.076409444,-0.12918727
0.29148346,-0.09669904,-0.10985302
0.19089411,-0.052884724,-0.38858902
0.114639,-0.053711925,-0.20295423
-0.091897756,-0.09406781,-0.2830533
-0.103024,-0.099137336,-0.35862255
-0.08804053,-0.09294486,-0.29699513
-0.17603084,-0.08947329,0.009313185
-0.11563596,-0.10797846,-0.14110428
-0.2992837,-0.07323216,-0.023036603
-0.21892156,-0.047114108,0.3740928
-0.16605139,-0.06512142,0.023628615
0.047288787,0.030519862,-0.040913437
-0.039400965,-0.026698604,0.14123945
0.12713067,-0.09102645,0.014951375
-0.3598621,-0.029842095,-0.078023575
-0.37863055,-0.076133616,0.13191916
-0.24906248,-0.0816455,0.028605185
0.2616713,-0.06445498,-0.1557485
0.3544124,-0.06530253,0.09336823
0.34087142,-0.10021391,-0.27077582
0.36830753,-0.04306881,-0.25808275
0.37753892,-0.065058745,-0.36458012
0.35662448,-0.06573872,-0.37371254
0.368948,-0.07320321,-0.36399162
0.30046389,-0.06362738,-0.40711424
0.14055516,-0.061424274,-0.2802297
-0.1980272,-0.026461005,-0.16932385
0.005180155,-0.058080006,-0.1706541
-0.16417633,0.035711717,-0.19614324
0.13349731,-0.07320299,-0.1802106
-0.17383397,-0.023946619,-0.046776254
-0.15191609,-0.078781515,0.04410645
0.12932503,-0.036881905,-0.19035989
0.3025885,0.054694396,0.007342065
0.10888717,-0.057042446,0.06945417
-0.05533743,-0.07544094,0.018932667
-0.16271846,-0.08946447,0.04626125
-0.0011194657,-0.071616024,-0.04690175
-0.24841477,-0.09786593,0.11839055
-0.13433942,-0.05294164,-0.37339455
0.066077575,-0.06691958,0.43263054
-0.15932228,-0.077351816,0.28851718
-0.27951965,-0.06907617,-0.2789774
-0.29339567,-0.09594532,0.04641451
0.15259191,-0.102253444,0.23735708
0.37322834,-0.0092094755,-0.2930492
0.38448587,-0.010843951,-0.31350258
0.38065004,-0.074859485,-0.09056752
0.2899583,-0.026280953,-0.27238253
0.33293805,-0.020434799,0.14198746
0.3229987,-0.055457883,0.046276
0.3789426,-0.043427717,-0.21548559
0.37261477,-0.0049850335,0.09153052
0.3647686,-0.08487682,-0.04150472
0.3655352,-0.053517755,0.015626622
0.35305718,-0.0911483,0.10406629
0.38358176,-0.008738577,0.06646002
-0.14944446,-0.0038977202,-0.12978324
-0.3370478,0.043566965,0.25962585
