electrical_storage,cooling_or_heating_device
-0.1788216,-0.47069287
-0.16062465,-0.47100005
-0.22309616,-0.42533943
-0.0806861,-0.46676937
-0.15692942,-0.47518504
-0.15846881,-0.44208768
-0.07097687,-0.4103243
0.0018946409,-0.46163863
0.19431832,-0.2594133
0.15065925,-0.14865679
-0.2435024,-0.0980974
-0.14615881,-0.39193642
-0.2053605,-0.16098113
-0.19525698,-0.44965193
-0.13812648,-0.33098716
-0.1386834,-0.43138838
-0.15283197,-0.25860325
-0.021415487,-0.39855295
-0.066882946,-0.40324146
-0.2534229,-0.046634525
-0.0586769,-0.4800225
-0.0017797386,-0.20074224
0.035226222,-0.36383334
0.010937658,-0.47530007
-0.25499865,-0.38890672
-0.24419224,-0.35744265
-0.2270778,-0.29407355
-0.22399625,-0.34329712
-0.17340477,-0.14835027
-0.18051055,-0.28412622
0.06458035,-0.07809064
-0.064947605,-0.10555951
0.028560277,-0.42048874
-0.025815547,-0.3142715
0.121731825,-0.29421252
0.07829683,-0.39398563
0.12073413,-0.47707072
-0.19785611,-0.3928417
0.044791155,-0.22949126
-0.12054468,-0.23064144
-0.13489133,-0.10476431
0.08337039,-0.30185822
-0.17257851,-0.23936619
-0.014231813,-0.1660543
-0.08249382,-0.37788886
-0.1971988,-0.25127295
0.058943957,-0.26464653
0.09929046,-0.2705713
0.035486083,-0.19786283
0.16471934,-0.14273942
0.17337266,-0.17228258
-0.05482382,-0.45372683
-0.0468491,-0.4540954
-0.056767967,-0.3542412
-0.113953754,-0.29199713
-0.20733817,-0.40194768
-0.098986216,-0.04532647
-0.22627302,-0.30396572
-0.059593644,-0.3005175
-0.20450918,-0.11349605
0.21522714,-0.39460015
-0.12569353,-0.29831624
-0.048441187,-0.48276836
-0.07791446,-0.4655651
-0.051412184,-0.33433098
-0.005300978,-0.42993352
-0.25503257,-0.10400878
-0.04601922,-0.23749314
-0.21904944,-0.19964275
-0.17809215,-0.29229558
-0.18498166,-0.22483447
-0.20930526,-0.05432917
-0.2150067,-0.15964872
-0.05905616,-0.032888755
-0.1662058,-0.36077985
-0.22894755,-0.12590757
-0.23360586,-0.028917536
-0.25543103,-0.026660815
-0.24622643,-0.032136247
-0.2582854,-0.063253716
-0.15529032,-0.027613014
-0.22074436,-0.06573051
-0.1232656,-0.16809353
-0.03867097,-0.040561885
-0.09842242,-0.080394685
-0.04125909,-0.074144065
-0.11062855,-0.13781407
0.058700196,-0.18219236
0.016882181,-0.021769732
-0.2026496,-0.07612677
-0.11531744,-0.08675407
-0.008294475,-0.053499565
-0.096899845,-0.29465422
-0.13703275,-0.12887399
-0.2195837,-0.26887044
-0.23013924,-0.14227253
-0.18458806,-0.02372007
-0.16089998,-0.20219211
0.023658775,-0.32605296
0.044615816,-0.22678785
-0.003146139,-0.09555474
-0.21691073,-0.22381005
-0.22888301,-0.17240837
-0.19115753,-0.10931578
-0.12978412,-0.010334507
0.03262206,-0.21986778
