cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,0.1569917,0.0,0.07553007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.1569917,0.0,0.30856916,0.38409925,0.38409925,0.0,0.38409925,0.38409925,0.30856916,-0.0,17.222237,17.222221,17.222221,2.0
0.0,0.05018919,0.0,0.024146453,0.7220041,0.77321833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.05018919,0.0,1.056708,1.8540728,1.8540728,0.0,1.8540728,1.8540728,1.056708,-0.0,17.222221,17.222221,17.222221,2.0
0.0,0.37957692,0.0,0.18564942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.37957692,0.0,0.28206357,0.467713,0.467713,0.0,0.467713,0.467713,0.28206357,-0.0,17.222221,17.222221,17.222221,2.0
0.0,0.49515727,0.0,0.24217927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.838174,2.838174,0.0,0.2536362,10.799895187848122,2.7392444963368416,0.0,-0.0,0.0,-0.0,-0.0,0.49515727,2.838174,0.2769692,3.3573227,3.3573227,0.0,0.5191486,0.5191486,0.2769692,-0.0,17.222221,17.222221,17.222221,2.0
0.0,0.5811124,0.0,0.28421953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.793982,2.793982,0.0,0.50194514,10.799792006683054,5.420903088923908,0.0,-0.0,0.0,-0.0,-0.0,0.5811124,2.793982,0.2758838,3.3540854,3.3540854,0.0,0.5601034,0.5601034,0.2758838,-0.0,17.222221,17.222221,17.222221,2.0
0.0,0.67579305,0.0,0.33592504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7507179,2.7507179,0.0,0.7450286,10.799690422283387,8.046078397719485,0.0,-0.0,0.0,-0.0,-0.0,0.67579305,2.7507179,0.27879608,3.365439,3.365439,0.0,0.61472106,0.61472106,0.27879608,-0.0,17.222221,17.222221,17.222221,2.0
0.0,0.75112545,0.0,0.37837085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08,0.0,-1.08,0.6347984,10.799650537354134,6.855600963258871,0.0,-0.0,0.0,-0.0,1.08,0.75112545,0.0,0.29070678,-0.4109224,0.0,-0.4109224,0.66907763,0.66907763,0.29070678,-0.0,17.222221,17.222221,17.222221,2.0
0.80549806,0.0,0.040274903,0.0,3.1304245,3.3524761,0.0,0.0,0.0,0.0,0.0,0.0,-1.08,0.0,-1.08,0.52530414,10.79961065227758,5.673080171562689,0.80549806,-0.0,0.0,-0.0,1.08,0.0,0.0,0.48642233,2.7991734,2.7991734,0.0,3.8791733,3.8791733,0.48642233,-0.0,17.222221,17.222221,17.222221,2.0
0.6266938,0.0,0.03700932,0.0,1.9267371,2.063407,0.0,0.0,0.0,0.0,0.0,0.0,-2.746648,0.0,-2.746648,0.2589824,10.79950921647304,2.7968827094946875,0.6266938,-0.0,0.0,-0.0,2.746648,0.0,0.0,0.6889691,0.029699426,0.029699426,0.0,2.7763474,2.7893853,0.6889691,-0.0130378185,17.222221,17.222221,17.222221,2.0
0.0,0.14749591,0.0,0.06664202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6615082,0.0,-1.6615082,0.09964711,10.79944785513377,1.0761337920183822,0.0,-0.0,0.0,-0.0,1.6615082,0.14749591,0.0,0.6886871,-0.932418,0.0,-0.932418,0.7290902,0.75532913,0.6886871,-0.02623892,17.74476,17.74537,17.74537,2.0
0.42278728,0.0,0.042479567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098981835,10.79944785513377,1.0689491651270628,0.42278728,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.7621754,0.7349934,0.7349934,0.0,0.7349934,0.80465496,0.7621754,-0.069661565,17.77769,17.777779,17.777779,2.0
0.8473668,0.0,0.098927744,0.0,0.37300643,0.39946505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098321,10.79944785513377,1.0618124936811049,0.8473668,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.6929504,1.0712041,1.0712041,0.0,1.0712041,1.1913432,0.6929504,-0.1201391,17.777777,17.777779,17.777779,2.0
1.4999167,0.0,0.21283095,0.0,0.68633235,0.7350162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09766457,10.79944785513377,1.0547234558318819,1.4999167,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.2197847,2.007459,2.007459,0.0,2.007459,2.1676319,1.2197847,-0.16017294,17.777779,17.777779,17.777779,2.0
2.099436,0.0,0.33206233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09701253,10.79944785513377,1.0476817297307675,2.099436,-0.0,0.0,-0.0,-0.0,0.0,0.0,7.6484323,7.8019648,7.8019648,0.0,7.8019648,7.9804945,7.6484323,-0.17852952,18.316628,18.333334,18.333334,2.0
1.8775604,0.0,0.29696885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09636484,10.79944785513377,1.0406870739912915,1.8775604,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.472944,1.5842959,1.5842959,0.0,1.5842959,1.7699128,1.472944,-0.185617,17.934345,18.88889,18.88889,2.0
0.80980504,0.0,0.13407443,0.0,0.8924456,0.9557498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095721476,10.79944785513377,1.0337390863026705,0.80980504,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.29647073,1.213452,1.213452,0.0,1.213452,1.386295,0.29647073,-0.17284296,19.686592,19.444445,19.444445,2.0
1.7961413,0.0,0.26814887,0.0,0.37300503,0.39946353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09508241,10.79944785513377,1.026837525278435,1.7961413,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.538156,1.0887687,1.0887687,0.0,1.0887687,1.2057683,0.538156,-0.116999686,17.731998,19.444445,19.444445,2.0
1.2260948,0.0,0.13407443,0.0,1.6384139,1.7546321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094447605,10.79944785513377,1.0199819886078016,1.2260948,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.89366734,2.7496433,2.7496433,0.0,2.7496433,2.782374,0.89366734,-0.032730497,18.860703,19.444445,19.444445,2.0
