cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,1.4323323,0.0,0.74117434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.4323323,0.0,0.4249997,1.166174,1.166174,0.0,1.166174,1.166174,0.4249997,-0.0,18.343472,18.333334,18.333334,2.0
0.0,0.72844,0.0,0.3769384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74682,0.74682,0.0,0.05020972,13.499990313278284,0.6778307294163716,0.0,-0.0,0.0,-0.0,-0.0,0.72844,0.74682,0.4058856,1.529644,1.529644,0.0,0.78282404,0.78282404,0.4058856,-0.0,17.222336,17.222221,17.222221,2.0
0.0,2.2451303,0.0,1.1816729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74682,0.74682,0.0,0.100298084,13.499980626549618,1.3540221951816511,0.0,-0.0,0.0,-0.0,-0.0,2.2451303,0.74682,0.40135685,2.3298497,2.3298497,0.0,1.5830297,1.5830297,0.40135685,-0.0,18.79768,18.819445,18.819445,2.0
0.0,2.0774956,0.0,1.0934422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74682,0.74682,0.0,0.15026538,13.499970939814002,2.028578273252324,0.0,-0.0,0.0,-0.0,-0.0,2.0774956,0.74682,0.40171438,2.2419765,2.2419765,0.0,1.4951565,1.4951565,0.40171438,-0.0,18.345589,18.333334,18.333334,2.0
0.0,2.1906612,0.0,1.1530043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74682,0.74682,0.0,0.20011191,13.499961253071435,2.7015030407388645,0.0,-0.0,0.0,-0.0,-0.0,2.1906612,0.74682,0.4210206,2.320845,2.320845,0.0,1.5740249,1.5740249,0.4210206,-0.0,18.333412,18.333334,18.333334,2.0
0.0,2.212493,0.0,1.1841139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74682,0.74682,0.0,0.24983796,13.499951566321917,3.3728004238663454,0.0,-0.0,0.0,-0.0,-0.0,2.212493,0.74682,0.45694053,2.3878744,2.3878744,0.0,1.6410544,1.6410544,0.45694053,-0.0,18.333338,18.333334,18.333334,2.0
0.0,2.3263328,0.0,1.2622305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74682,0.74682,0.0,0.29944384,13.499941879565448,4.0424744494309905,0.0,-0.0,0.0,-0.0,-0.0,2.3263328,0.74682,0.5197472,2.5287976,2.5287976,0.0,1.7819777,1.7819777,0.5197472,-0.0,18.333334,18.333334,18.333334,2.0
0.0,2.8622818,0.0,1.5784085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,-0.27,0.27634695,13.499938377481516,3.730666819066693,0.0,-0.0,0.0,-0.0,0.27,2.8622818,0.0,0.61589986,1.9243083,1.9243083,0.0,2.1943083,2.1943083,0.61589986,-0.0,18.405779,18.412037,18.412037,2.0
0.0,2.4828174,0.0,1.2260491,0.08438109,0.08824066,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,-0.27,0.25330588,13.499934875396676,3.4196129134641495,0.0,-0.0,0.0,-0.0,0.27,2.4828174,0.0,0.8845161,1.8699336,1.8699336,0.0,2.1399336,2.1988058,0.8845161,-0.058872208,18.967457,18.972221,18.972221,2.0
0.0,1.6267728,0.0,0.78889745,0.29375526,0.30719158,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,-0.27,0.23032051,13.499931373310927,3.1093111227197388,0.0,-0.0,0.0,-0.0,0.27,1.6267728,0.0,1.9293876,2.6043496,2.6043496,0.0,2.8743496,3.0254765,1.9293876,-0.15112698,19.442818,19.444445,19.444445,2.0
