electrical_storage,cooling_or_heating_device
-0.087974444,-0.20246388
-0.08813605,-0.24714123
-0.08249714,-0.14435248
-0.088322416,-0.17155735
-0.082007445,-0.16988622
-0.0734125,-0.26171777
-0.06926783,-0.17376442
-0.077986546,-0.14975926
-0.102941535,-0.16065468
-0.10272412,-0.21545555
-0.09877917,-0.26857913
-0.098907575,-0.29673955
-0.09680205,-0.245802
-0.09210267,-0.22177319
-0.08649529,-0.29660276
-0.08082522,-0.20143376
-0.0804328,-0.2595883
-0.08418926,-0.2527391
-0.08176262,-0.38459784
-0.08265395,-0.20162292
-0.07610762,-0.29070476
-0.08159402,-0.2928116
-0.08478215,-0.26834273
-0.08145223,-0.32222474
-0.088482186,-0.2743257
-0.088917114,-0.30938417
-0.091441885,-0.22663683
-0.088551514,-0.16327092
-0.09811008,-0.21155149
-0.08873529,-0.16889639
-0.09343197,-0.19009523
-0.0795485,-0.18419938
-0.10118763,-0.2523
-0.094814844,-0.16666907
-0.09593293,-0.15893693
-0.09616803,-0.2681061
-0.08468423,-0.34006265
-0.08354623,-0.29051644
-0.08097233,-0.2719174
-0.081699744,-0.34475294
-0.07764146,-0.34174106
-0.073429726,-0.2472069
-0.07862039,-0.23982036
-0.062152658,-0.19747385
-0.07987782,-0.14991306
-0.08033272,-0.08639282
-0.08701644,-0.07234301
-0.08464448,-0.10762389
-0.0987436,-0.16157645
-0.0797894,-0.29890805
-0.095440656,-0.26118043
-0.09762685,-0.24150091
-0.105498,-0.28014168
-0.09929536,-0.31627157
-0.103795186,-0.24871933
-0.09257516,-0.2232136
-0.10837979,-0.3445628
-0.104389444,-0.31686494
-0.10246304,-0.29318935
-0.09360908,-0.16736552
-0.09963998,-0.21482916
-0.08862294,-0.25045428
-0.07865363,-0.39065462
-0.081778094,-0.41654903
-0.08877312,-0.4216269
-0.09329691,-0.3876561
-0.095032625,-0.3541674
-0.093403876,-0.2963599
-0.09041601,-0.27226356
-0.09866947,-0.31573632
-0.09020532,-0.34814417
-0.08080844,-0.34710848
-0.107584104,-0.3626352
-0.08278416,-0.3444953
-0.0854776,-0.24943714
-0.08408431,-0.27142605
-0.088418804,-0.25580338
-0.06444577,-0.30236995
-0.06698972,-0.29267412
-0.07895701,-0.1995767
-0.091175094,-0.15554427
-0.09473756,-0.27083418
-0.09323664,-0.27795988
-0.08688942,-0.1896378
-0.08106718,-0.2124858
-0.08348063,-0.3692052
-0.08878278,-0.39729747
-0.08536566,-0.41999957
-0.08107937,-0.37015644
-0.08271029,-0.31648287
-0.08372071,-0.22569685
-0.09022742,-0.22179267
-0.090402685,-0.23305346
-0.0896306,-0.27543816
-0.086951956,-0.26433358
-0.09504032,-0.3507097
-0.09508649,-0.19571263
-0.08960752,-0.23408413
-0.086874194,-0.2575807
-0.10466271,-0.1637377
-0.09799098,-0.24669325
-0.085401826,-0.27309847
-0.0746231,-0.29933587
-0.094509624,-0.2376516
-0.07574451,-0.34872118
-0.087852195,-0.23887417
-0.095154636,-0.28957313
-0.091289125,-0.14662927
-0.09933714,-0.28835657
-0.10499595,-0.38584578
-0.083019555,-0.2373742
-0.072131805,-0.31262013
-0.06265468,-0.37761998
-0.0646626,-0.28062943
-0.08177662,-0.35771438
-0.09053979,-0.3737059
-0.09233654,-0.22658992
-0.10136571,-0.28064138
-0.091557615,-0.38191727
-0.084017366,-0.37539083
-0.10193851,-0.287998
-0.095527746,-0.20421752
-0.10496309,-0.16870672
-0.10205344,-0.23991476
-0.104846686,-0.2490793
-0.10990956,-0.38661152
-0.10946189,-0.38232547
-0.10440151,-0.33567914
-0.108084865,-0.29734075
-0.10537301,-0.24998939
-0.10285727,-0.25042468
-0.09959555,-0.35403922
-0.10253016,-0.20221527
-0.100796156,-0.25217313
-0.094662465,-0.23821811
-0.079014406,-0.28962106
-0.08518343,-0.29673856
-0.093651414,-0.4043636
-0.100565426,-0.40710866
-0.10184193,-0.35687575
-0.101223685,-0.30309263
-0.10475913,-0.17370951
-0.10370562,-0.05361087
-0.106000066,-0.12995788
-0.09551982,-0.39644295
-0.093866475,-0.31489614
-0.10331205,-0.31186065
-0.10757378,-0.32143387
-0.107550666,-0.29291615
-0.109790914,-0.37769097
-0.11130107,-0.37075323
-0.11236839,-0.34623742
-0.112837836,-0.34018335
-0.110321544,-0.30332458
-0.109303765,-0.27755585
-0.10353091,-0.32612196
-0.10206535,-0.3739222
-0.0999181,-0.35052046
-0.09230059,-0.3650804
-0.084142685,-0.34619015
-0.06723647,-0.2905819
-0.041725896,-0.39844906
-0.052034337,-0.4235144
-0.07680143,-0.405252
-0.055088643,-0.41734043
-0.063012905,-0.39262602
-0.06668595,-0.36575893
-0.070760496,-0.38909617
-0.091539524,-0.2772581
-0.08931542,-0.27722698
-0.094040826,-0.19191508
-0.0980425,-0.16101426
-0.100914195,-0.23627153
-0.10063449,-0.30058855
-0.097243495,-0.22020149
-0.09648511,-0.2527503
-0.09919266,-0.27775156
-0.104637645,-0.2711185
-0.10115983,-0.24999924
-0.09369111,-0.2724741
-0.09580416,-0.2434216
-0.09157668,-0.26096144
-0.09016003,-0.21950778
-0.082008466,-0.25175872
-0.07805766,-0.31627205
-0.09231811,-0.3816944
-0.09002714,-0.38022736
-0.088914216,-0.36104673
-0.094033636,-0.27261665
-0.099736735,-0.27504268
-0.100511014,-0.227284
-0.09185629,-0.18440208
-0.09402037,-0.20833403
-0.087553814,-0.23386289
-0.098676875,-0.23195349
-0.09902673,-0.21465842
-0.09637742,-0.24174556
-0.09950761,-0.20050213
-0.09225721,-0.22229238
-0.09479516,-0.20082375
-0.098043695,-0.30849192
-0.09597682,-0.29748848
-0.087534055,-0.22193855
-0.090866804,-0.22088489
-0.08426931,-0.31522417
-0.07622596,-0.31803796
-0.07510511,-0.3368996
-0.075351,-0.33339253
-0.07657368,-0.26581216
-0.08255337,-0.27566475
-0.08529218,-0.23041695
-0.084461965,-0.29387078
-0.07607902,-0.2404503
-0.10184863,-0.43813255
-0.10245227,-0.28993964
-0.090066984,-0.29224724
-0.09335781,-0.2932228
-0.0992211,-0.2780791
-0.09659623,-0.27187684
-0.097284995,-0.2998944
-0.10221224,-0.3440222
-0.10463443,-0.4271774
-0.105682366,-0.43885598
-0.108767115,-0.4246823
-0.108881705,-0.32466412
-0.112131104,-0.43069395
-0.10903468,-0.16544832
-0.10778853,-0.31130752
-0.10650934,-0.25199294
-0.10705601,-0.38460508
-0.10179183,-0.36887702
-0.104980364,-0.32911992
-0.105171956,-0.44168052
-0.102647595,-0.4596366
-0.09637035,-0.47163296
-0.095437944,-0.47300914
-0.08661845,-0.41862085
-0.09582481,-0.39605215
-0.09823386,-0.37376672
-0.10416641,-0.3664142
