cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,1.8302472,0.0,0.9741468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.8302472,0.0,0.36709097,1.3412378,1.3412378,0.0,1.3412378,1.3412378,0.36709097,-0.0,18.320932,18.333334,18.333334,2.0
0.0,2.2774384,0.0,1.2121638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.2774384,0.0,0.3783531,1.5905169,1.5905169,0.0,1.5905169,1.5905169,0.3783531,-0.0,18.333189,18.333334,18.333334,2.0
0.0,2.3061328,0.0,1.248713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.3061328,0.0,0.3246618,1.5733747,1.5733747,0.0,1.5733747,1.5733747,0.3246618,-0.0,18.333332,18.333334,18.333334,2.0
0.0,2.384257,0.0,1.2910154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.384257,0.0,0.3322868,1.6233022,1.6233022,0.0,1.6233022,1.6233022,0.3322868,-0.0,18.333334,18.333334,18.333334,2.0
0.0,4.793939,0.0,2.5957978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,4.793939,0.0,0.658373,3.254171,3.254171,0.0,3.254171,3.254171,0.658373,-0.0,19.979721,20.0,20.0,2.0
0.0,3.6868107,0.0,2.0303304,0.13852257,0.14335449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.6868107,0.0,0.73201513,2.9057,2.9057,0.0,2.9057,2.9057,0.73201513,-0.0,19.45913,19.444445,19.444445,2.0
0.0,1.0961347,0.0,0.61207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0961347,0.0,0.7361609,1.3482308,1.3482308,0.0,1.3482308,1.3482308,0.7361609,-0.0,17.80391,17.777779,17.777779,2.0
0.0,1.331222,0.0,0.7556224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.331222,0.0,0.7121818,1.4678042,1.4678042,0.0,1.4678042,1.4678042,0.7121818,-0.0,17.778069,17.777779,17.777779,2.0
0.0,0.7270247,0.0,0.369071,0.19613726,0.2029789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.7270247,0.0,0.5290834,1.0621067,1.0621067,0.0,1.0621067,1.1011333,0.5290834,-0.03902663,17.224792,17.222221,17.222221,2.0
0.0,0.4672586,0.0,0.23289087,0.34230405,0.35424423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.4672586,0.0,0.443303,0.93464506,0.93464506,0.0,0.93464506,1.0304381,0.443303,-0.095792994,17.222223,17.222221,17.222221,2.0
0.0,0.098376244,0.0,0.045704674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.098376244,0.0,0.37532523,0.2763452,0.2763452,0.0,0.2763452,0.42102987,0.37532523,-0.14468469,17.222221,17.222221,17.222221,2.0
0.33587864,0.0,0.035928514,0.0,0.3922745,0.40595776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.33587864,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.37235737,0.6354694,0.6354694,0.0,0.6354694,0.8142437,0.37235737,-0.17877428,17.222221,17.222221,17.222221,2.0
0.7592232,0.0,0.09945969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.7592232,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.374881,0.27617264,0.27617264,0.0,0.27617264,0.47434068,0.374881,-0.19816805,17.222221,17.222221,17.222221,2.0
0.6101649,0.0,0.08942137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.6101649,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.37479532,0.26959646,0.26959646,0.0,0.26959646,0.46421665,0.37479532,-0.1946202,18.33035,18.333334,18.333334,2.0
0.61937475,0.0,0.0907711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.61937475,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.45789152,0.3681899,0.3681899,0.0,0.3681899,0.5486626,0.45789152,-0.1804727,18.829319,18.88889,18.88889,2.0
1.6019535,0.0,0.24609432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.6019535,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.51502913,0.61297834,0.61297834,0.0,0.61297834,0.7611234,0.51502913,-0.14814508,18.58557,18.88889,18.88889,2.0
1.9265158,0.0,0.265995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.9265158,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.7587479,0.9427551,0.9427551,0.0,0.9427551,1.0247428,0.7587479,-0.081987716,18.483719,18.88889,18.88889,2.0
2.4768345,0.0,0.24743615,0.0,0.6030184,0.6240528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,2.4768345,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.94341886,1.8003486,1.8003486,0.0,1.8003486,1.8149078,0.94341886,-0.01455916,17.836765,18.88889,18.88889,2.0
2.5243154,0.0,0.27002284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,2.5243154,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.9593427,1.2293656,1.2293656,0.0,1.2293656,1.2293656,0.9593427,-0.0,17.762241,18.88889,18.88889,2.0
3.6636608,0.0,0.24687456,0.0,0.14910325,0.15430425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,3.6636608,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0805666,1.4817455,1.4817455,0.0,1.4817455,1.4817455,1.0805666,-0.0,16.62769,18.88889,18.88889,2.0
4.01982,0.0,0.27087423,0.0,0.32266867,0.33392394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,4.01982,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.8013892,1.4061874,1.4061874,0.0,1.4061874,1.4061874,0.8013892,-0.0,16.032902,18.88889,18.88889,2.0
5.655518,0.0,0.2827759,0.0,0.5441047,0.56308407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,5.655518,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.6603301,1.5061901,1.5061901,0.0,1.5061901,1.5061901,0.6603301,-0.0,14.614769,19.444445,19.444445,2.0
5.5142407,0.0,0.27571204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,5.5142407,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4224812,0.69819325,0.69819325,0.0,0.69819325,0.69819325,0.4224812,-0.0,14.031832,19.444445,19.444445,2.0
5.2117105,0.0,0.26058552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,5.2117105,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.40148872,0.6620742,0.6620742,0.0,0.6620742,0.6620742,0.40148872,-0.0,13.371819,19.444445,19.444445,2.0
4.474798,0.0,0.2237399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,4.474798,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.36709097,0.59083086,0.59083086,0.0,0.59083086,0.59083086,0.36709097,-0.0,13.165995,19.444445,19.444445,2.0
5.39427,0.0,0.2697135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,5.39427,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.3783531,0.6480666,0.6480666,0.0,0.6480666,0.6480666,0.3783531,-0.0,12.307528,18.88889,18.88889,2.0
5.214234,0.0,0.2607117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,5.214234,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.3246618,0.5853735,0.5853735,0.0,0.5853735,0.5853735,0.3246618,-0.0,11.715882,18.88889,18.88889,2.0
4.527667,0.0,0.22638336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,4.527667,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.3322868,0.55867016,0.55867016,0.0,0.55867016,0.55867016,0.3322868,-0.0,11.246275,18.88889,18.88889,2.0
5.3610106,0.0,0.26805052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,5.3610106,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.38837355,0.65642405,0.65642405,0.0,0.65642405,0.65642405,0.38837355,-0.0,10.298802,18.88889,18.88889,2.0
2.280607,0.0,0.114030346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,2.280607,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.49187127,0.6059016,0.6059016,0.0,0.6059016,0.6059016,0.49187127,-0.0,10.789046,18.88889,18.88889,2.0
4.5492325,0.0,0.22746162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,4.5492325,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.6168862,0.84434783,0.84434783,0.0,0.84434783,0.84434783,0.6168862,-0.0,9.2120905,18.88889,18.88889,2.0
1.6131514,0.0,0.08065757,0.0,1.5014356,1.5538085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.6131514,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.40159175,2.0360577,2.0360577,0.0,2.0360577,2.0360577,0.40159175,-0.0,10.175981,18.333334,18.333334,2.0
1.9302429,0.0,0.14644165,0.0,0.58565205,0.60608065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.9302429,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.46000904,1.1658762,1.1658762,0.0,1.1658762,1.2125313,0.46000904,-0.046655226,9.415234,18.333334,18.333334,2.0
1.0962318,0.0,0.08316778,0.0,0.19615375,0.20299596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.0962318,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.49762917,0.6820343,0.6820343,0.0,0.6820343,0.7837929,0.49762917,-0.10175858,10.301604,17.222221,17.222221,2.0
1.6168872,0.0,0.16152728,0.0,2.0412185,2.11242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.6168872,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.48227823,2.6013725,2.6013725,0.0,2.6013725,2.7562256,0.48227823,-0.154853,10.069057,17.222221,17.222221,2.0
1.2614363,0.0,0.14563414,0.0,0.1803043,0.18659365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.2614363,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.612308,0.7699188,0.7699188,0.0,0.7699188,0.94453585,0.612308,-0.17461708,11.052852,18.333334,18.333334,2.0
1.6536751,0.0,0.20260766,0.0,0.097262904,0.100655615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.6536751,-0.0,0.0,-0.0,-0.0,0.0,0.0,3.6789532,3.7907255,3.7907255,0.0,3.7907255,3.9822164,3.6789532,-0.191491,11.469917,18.88889,18.88889,2.0
1.4022918,0.0,0.215422,0.0,0.097993955,0.10141216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999999999999,0.0,1.4022918,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4827424,0.5989716,0.5989716,0.0,0.5989716,0.7995765,0.4827424,-0.20060493,12.562292,18.88889,18.88889,2.0
