cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
21.433313,5.613936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.433313,0.0,0.0,0.0,0.0,0.0,0.0,3.7419388,9.35587477684021,9.35587477684021,0.0,9.355875,9.355875,9.355875,9.355875,3.7419388,0.0
19.659147,4.8832536,0.0,0.31246832,1.5524521,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,19.659147,0.0,1.1328094,0.0,0.0,0.0,5.5319996,3.6769533,15.644658744335175,15.644658744335175,0.0,8.895099,8.895099,8.895099,8.895099,3.6769533,0.0
17.562538,4.315687,0.0,0.3235594,1.5657195,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,17.562538,0.0,1.1328094,0.0,0.0,0.0,5.5319996,3.6596305,15.073036909103394,15.073036909103394,0.0,8.323477,8.323477,8.323477,8.323477,3.6596305,0.0
15.982864,3.9144888,0.0,0.0,1.2175602,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,15.982864,0.0,1.1328094,0.0,0.0,0.0,5.5319996,3.6477017,14.311750531196594,14.311750531196594,0.0,7.56219,7.56219,7.56219,7.56219,3.6477017,0.0
14.311921,3.3774266,0.0,0.0,1.2175602,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,14.311921,0.0,1.1328094,0.0,0.0,0.0,5.5319996,3.713407,13.840393424034119,13.840393424034119,0.0,7.090833,7.090833,7.090833,7.090833,3.713407,0.0
14.359235,3.434372,0.0,2.6458564,4.116428,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,14.359235,0.0,1.1328094,0.0,0.0,0.0,5.5319996,3.924264,17.007063627243042,17.007063627243042,0.0,10.2575035,10.2575035,10.2575035,10.2575035,3.924264,0.0
14.928612,3.7502477,0.0,0.7951534,2.0792236,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,14.928612,0.0,1.1328094,0.0,0.0,0.0,5.5319996,4.472855,15.682569801807404,15.682569801807404,0.0,8.93301,9.084766,8.93301,9.084766,4.472855,-0.15175697
20.94578,5.5253654,0.0,3.6038058,3.743686,0.0,0.0,0.0,-2.0,0.0,-2.0,20.94578,0.0,0.0,0.0,2.0,0.0,0.0,5.544847,12.23629367351532,12.23629367351532,0.0,14.236293,14.813899,14.236293,14.813899,5.544847,-0.5776048
26.249683,7.6315193,0.0,2.080734,1.884139,-0.3736022,0.0,-0.3736022,-2.0,0.0,-2.0,26.249683,0.3474204,0.0,0.3474204,2.0,0.0,0.0,6.9145474,13.007027745246887,13.007027745246887,0.0,15.38063,16.80381,15.38063,16.80381,6.9145474,-1.4231776
33.671757,10.259115,0.0,5.76521,6.1885233,0.0,0.0,0.0,-2.0,0.0,-2.0,33.671757,0.0,0.0,0.0,2.0,0.0,0.0,7.751303,19.735333800315857,19.735333800315857,0.0,21.735334,24.198942,21.735334,24.198942,7.751303,-2.463609
36.206566,12.024661,0.0,2.4102945,2.2480412,-0.3736022,0.0,-0.3736022,-2.0,0.0,-2.0,36.206566,0.3474204,0.0,0.3474204,2.0,0.0,0.0,7.5472827,16.62211149930954,16.62211149930954,0.0,18.995714,22.193586,18.995714,22.193586,7.5472827,-3.1978726
32.379356,11.683763,0.22695473,2.4161696,2.4756489,-0.15823208,0.0,-0.15823208,-2.0,0.0,-2.0,32.379356,0.14482395,0.0,0.14482395,2.0,1.5335363,0.0,8.467105,17.10008931159973,17.10008931159973,0.0,19.25832,23.011702,19.25832,23.011702,8.467105,-3.7533805
33.852413,13.477124,0.0,1.2599885,1.174682,-0.1719864,0.0,-0.1719864,-2.0,0.0,-2.0,33.852413,0.1612563,0.0,0.1612563,2.0,0.0,0.0,8.363474,17.012390434741974,17.012390434741974,0.0,19.184376,23.187263,19.184376,23.187263,8.363474,-4.00289
36.126358,14.848652,0.0,0.075941324,0.0,-0.07927104,0.0,-0.07927104,-1.7836214,0.0,-1.7836214,36.126358,0.075941324,0.0,0.075941324,1.7836214,0.0,0.0,6.9481335,15.941121757030487,15.941121757030487,0.0,17.804014,21.876055,17.804014,21.876055,6.9481335,-4.0720415
43.27794,18.536781,0.0,0.5867655,0.40440488,-0.21537012,0.0,-0.21537012,-1.3,0.0,-1.3,43.27794,0.20259646,0.0,0.20259646,1.3,0.0,0.0,6.6958437,20.537548184394836,20.537548184394836,0.0,22.05292,25.852398,22.05292,25.852398,6.6958437,-3.7994812
36.650864,15.776383,0.0,1.6677487,1.5173163,-0.26820168,0.0,-0.26820168,-1.2835369,0.0,-1.2835369,36.650864,0.24829154,0.0,0.24829154,1.2835369,0.0,0.0,6.378774,18.97628027200699,18.97628027200699,0.0,20.528019,23.940674,30.767078,34.179737,6.378774,-3.4126568
38.014782,15.776383,0.0,1.4302865,0.9794931,-0.57387054,0.0,-0.57387054,-2.3848,0.0,-2.3848,38.014782,0.5312344,0.0,0.5312344,2.3848,0.0,0.0,6.1251383,17.810451328754425,17.810451328754425,0.0,20.769121,23.454887,29.308744,31.994507,6.1251383,-2.6857648
40.190422,15.776383,0.0,1.6744683,1.421411,-0.33723217,0.0,-0.33723217,-2.0376887,0.0,-2.0376887,40.190422,0.3116985,0.0,0.3116985,2.0376887,0.0,0.0,12.922775,26.281529188156128,26.281529188156128,0.0,28.65645,30.457802,37.960773,39.762127,12.922775,-1.8013518
43.79384,15.776383,0.0,0.81914175,0.6695203,-0.18762682,0.0,-0.18762682,-0.19425762,0.0,-0.19425762,43.79384,0.17974572,0.0,0.17974572,0.19425762,0.0,0.0,9.089996,24.520843386650085,24.520843386650085,0.0,24.902727,25.723526,30.104984,30.925781,9.089996,-0.8207992
46.707542,15.776384,0.0,0.9189828,0.8823961,-0.08549968,0.0,-0.08549968,0.0,0.0,0.0,46.707542,0.07845098,0.0,0.07845098,0.0,0.0,0.0,12.586617,29.13484263420105,29.13484263420105,0.0,29.22034,29.3309,26.815472,26.926027,12.586617,-0.11055534
51.41174,15.776383,0.0,1.1555697,1.0386864,-0.20638368,0.0,-0.20638368,0.0,0.0,0.0,51.41174,0.19350755,0.0,0.19350755,0.0,0.0,0.0,8.314123,25.12919247150421,25.12919247150421,0.0,25.335575,25.335575,18.601425,18.601425,8.314123,0.0
0.0,0.0,3.1439314,1.0095111,0.7305306,-0.34428084,0.0,-0.34428084,0.0,0.0,0.0,0.0,0.32144004,0.0,0.32144004,0.0,13.630764,0.0,8.121485,11.99594634771347,11.99594634771347,0.0,12.340227,12.340227,16.885136,16.885136,8.121485,0.0
0.0,0.0,3.143931,0.8007329,0.58781123,-0.25844413,0.0,-0.25844413,0.0,0.0,0.0,0.0,0.24311572,0.0,0.24311572,0.0,12.482808,0.0,6.257903,9.989645659923553,9.989645659923553,0.0,10.24809,10.24809,15.713034,15.713034,6.257903,0.0
0.0,0.0,3.1439314,0.9933251,1.818243,0.7483197,0.7483197,0.0,3.4,3.4,0.0,0.0,0.0,0.69623137,0.0,0.0,11.7998905,3.4,4.086716,12.448890507221222,12.448890507221222,0.0,8.3005705,8.3005705,15.221018,15.221018,4.086716,0.0
0.0,0.0,3.143931,0.0,0.7483197,0.7483197,0.7483197,0.0,3.4,3.4,0.0,0.0,0.0,0.69623137,0.0,0.0,11.458048,3.4,3.7180943,11.010345101356506,11.010345101356506,0.0,6.8620253,6.8620253,12.163095,12.163095,3.7180943,0.0
0.0,0.0,1.5719657,0.0,1.2175602,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,0.0,0.0,1.1328094,0.0,0.0,5.593993,5.5319996,3.684646,12.006171822547913,12.006171822547913,0.0,5.2566113,5.2566113,10.98937,10.98937,3.684646,0.0
0.0,0.0,1.5719655,0.0,1.2175602,1.2175603,1.2175603,0.0,5.5319996,5.5319996,0.0,0.0,0.0,1.1328094,0.0,0.0,5.729024,5.5319996,3.6860025,12.00752854347229,12.00752854347229,0.0,5.2579684,5.2579684,10.166801,10.166801,3.6860025,0.0
