cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
5.394709,0.0,1.6379367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.394709,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.5652081,2.2031448,2.2031448,0.0,2.2031448,2.2031448,0.5652081,-0.0,21.693316,21.666666,21.666666,2.0
3.7587855,0.0,1.1105024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77448,0.77448,0.0,0.053486876,13.999971438964405,0.7488147390153472,3.7587855,-0.0,0.0,-0.0,-0.0,0.0,0.77448,0.56249905,2.4474814,2.4474814,0.0,1.6730014,1.6730014,0.56249905,-0.0,21.66744,21.666666,21.666666,2.0
3.0500515,0.0,0.90111274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77448,0.77448,0.0,0.106617145,13.999942877870541,1.492633943165923,3.0500515,-0.0,0.0,-0.0,-0.0,0.0,0.77448,0.5599025,2.235495,2.235495,0.0,1.4610151,1.4610151,0.5599025,-0.0,21.666706,21.666666,21.666666,2.0
2.8188565,0.0,0.8328081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77448,0.77448,0.0,0.15939319,13.999914316718412,2.2314910213944996,2.8188565,-0.0,0.0,-0.0,-0.0,0.0,0.77448,0.55726844,2.1645565,2.1645565,0.0,1.3900765,1.3900765,0.55726844,-0.0,21.66667,21.666666,21.666666,2.0
2.4666836,0.0,0.70455647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77448,0.77448,0.0,0.21181737,13.999885755508014,2.965418965142484,2.4666836,-0.0,0.0,-0.0,-0.0,0.0,0.77448,0.5845628,2.063599,2.063599,0.0,1.2891191,1.2891191,0.5845628,-0.0,21.666666,21.666666,21.666666,2.0
2.3760202,0.0,0.7019757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77448,0.77448,0.0,0.26389202,13.999857194239349,3.694450661275366,2.3760202,-0.0,0.0,-0.0,-0.0,0.0,0.77448,0.55467194,2.0311275,2.0311275,0.0,1.2566475,1.2566475,0.55467194,-0.0,21.666666,21.666666,21.666666,2.0
2.6680698,0.0,0.81007695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77448,0.77448,0.0,0.3156195,13.999828632912415,4.41861889208378,2.6680698,-0.0,0.0,-0.0,-0.0,0.0,0.77448,0.56012744,2.1219864,2.1219864,0.0,1.3475064,1.3702043,0.56012744,-0.022697901,21.666666,21.666666,21.666666,2.0
3.2286377,0.0,1.0383595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,-0.28,0.29219115,13.999818307031768,4.090622980182708,3.2286377,-0.0,0.0,-0.0,0.28,0.0,0.0,0.56547046,1.2384555,1.2384555,0.0,1.5184555,1.60383,0.56547046,-0.08537451,21.666666,21.666666,21.666666,2.0
4.1791444,0.0,1.4944172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,-0.28,0.268919,13.999807981143507,3.7648142377269824,4.1791444,-0.0,0.0,-0.0,0.28,0.0,0.0,0.71212554,1.70681,1.70681,0.0,1.98681,2.2065427,0.71212554,-0.2197328,21.666666,21.666666,21.666666,2.0
5.692426,0.0,2.1146832,0.0,2.5424187,2.6810975,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,-0.28,0.24580199,13.999797655247628,3.441178056951702,5.692426,-0.0,0.0,-0.0,0.28,0.0,0.0,0.7042962,4.84014,4.84014,0.0,5.12014,5.500077,0.7042962,-0.37993687,22.275902,22.277779,22.277779,2.0
3.0544422,0.0,1.2620798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,-0.28,0.2228391,13.999787329344134,3.119700038748129,3.0544422,-0.0,0.0,-0.0,0.28,0.0,0.0,0.5646082,1.0575225,1.0575225,0.0,1.3375225,1.826688,0.5646082,-0.4891655,22.833296,22.833334,22.833334,2.0
0.0,1.5335363,0.0,0.22695473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,-0.28,0.20002931,13.999777003433023,2.800365784049988,0.0,-0.0,0.0,-0.0,0.28,1.5335363,0.0,0.5646457,-0.06443256,0.0,-0.06443256,0.21556744,0.79160047,0.5646457,-0.57603306,26.422762,26.444445,26.444445,2.0
1.439766,0.0,0.71263796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,-0.28,0.1773716,13.999766677514296,2.483161102446242,1.439766,-0.0,0.0,-0.0,0.28,0.0,0.0,0.5998047,0.41590536,0.41590536,0.0,0.6959053,1.3124427,0.5998047,-0.61653733,26.666656,26.666666,26.666666,2.0
