dhw_storage,electrical_storage,cooling_or_heating_device
0.19063063,-0.05091611,0.30491275
-0.05488565,-0.05568917,0.38823524
-0.10207796,-0.082588226,0.42538664
-0.18557148,-0.090091355,0.4639263
-0.21711652,-0.075801514,0.42575857
-0.21809046,-0.062697425,0.2303754
-0.20404626,-0.06715233,0.02275438
-0.08724993,-0.069156885,0.28223634
-0.017760048,-0.06674463,0.45308846
-0.01601472,-0.066904575,0.44104165
-0.12964632,-0.07629939,0.4331079
0.10533311,-0.040819496,0.3638743
-0.10859441,-0.048194557,-0.07739443
0.065887704,-0.080950916,0.38248286
-0.020469429,-0.080941394,0.24732813
-0.2979358,-0.08802784,-0.09573446
-0.24514775,-0.09814342,-0.28158563
-0.04523992,-0.09095484,0.14564586
-0.2690174,-0.10283339,-0.3213397
-0.12672745,-0.08409528,-0.07256736
-0.12054719,-0.09539785,-0.10872607
0.007701214,-0.09787978,0.044023547
0.10354003,-0.09779833,0.119597055
0.12590988,-0.091836005,0.09721691
-0.1462884,-0.05658869,0.24578193
-0.04372511,-0.03384253,0.083051
-0.1123859,-0.05219591,0.07235408
-0.06888493,-0.047675736,-0.069056064
-0.16318017,-0.054706834,-0.008676975
-0.16552879,-0.048460275,-0.10689235
-0.21244207,-0.016133087,0.24911863
-0.26627156,-0.080740936,-0.21962474
-0.20868766,-0.078448914,-0.19181523
-0.16376314,-0.075709455,-0.106570326
-0.14813639,-0.08127651,-0.2426155
-0.14667864,-0.07604644,-0.14950117
-0.1924344,-0.0765031,-0.18605858
-0.21995056,-0.07882883,-0.30101007
-0.22894467,-0.08532495,-0.31091216
-0.24899529,-0.082564205,-0.36694592
-0.23429084,-0.08271515,-0.3170686
-0.21003996,-0.07972805,-0.30698156
-0.19491869,-0.078234844,-0.19907413
-0.22884662,-0.078646794,-0.25614235
-0.18322495,-0.06498623,-0.25102454
-0.23712134,-0.061414823,-0.20507826
-0.22107519,-0.06403671,-0.1428268
-0.16003613,-0.061940085,0.026569113
-0.051756166,-0.038291886,-0.018790666
-0.20391196,-0.0035750503,0.019795222
-0.16439028,-0.016984012,-0.029841274
-0.19456524,-0.02509825,-0.05263663
-0.18928254,-0.036779467,-0.019555027
-0.32673007,-0.026904367,-0.091015905
-0.29633597,-0.0291768,-0.09283655
-0.3287515,-0.03696274,-0.19014816
-0.2931715,-0.043029778,-0.19826153
-0.21772143,-0.07039722,-0.11098239
-0.26278833,-0.07594793,-0.31320298
-0.25503212,-0.06839818,-0.34592187
-0.31682643,-0.09855433,-0.39743403
-0.29329687,-0.08129315,-0.37400264
-0.22043885,-0.06567952,-0.3882982
-0.09589414,-0.06448999,-0.37435052
-0.08112391,-0.054603074,-0.40232384
-0.09715728,-0.04576198,-0.37080345
-0.029467382,-0.037794784,-0.39738578
