electrical_storage,cooling_or_heating_device
-0.070569746,-0.11819495
-0.07247354,-0.14945391
-0.07950077,-0.17688224
-0.07387351,-0.20092878
-0.06182196,-0.16923098
-0.025265085,-0.06322718
-0.06694036,-0.048855007
-0.026797414,-0.26615027
-0.05789129,-0.14334768
-0.029162113,-0.20678993
0.037234664,-0.05287242
0.005204257,-0.1100962
-0.030014733,-0.36205292
0.08262574,-0.08923823
-0.049601857,-0.22875209
-0.075330555,-0.48049927
-0.022537325,-0.27382702
-0.084984764,-0.42459163
-0.10567937,-0.2194518
-0.119598314,-0.4914596
-0.115800686,-0.12788232
-0.10892368,-0.47735292
-0.07559478,-0.034941807
-0.013385625,-0.23373514
0.007954507,-0.06277861
0.05579399,-0.033703014
0.07526173,-0.010549933
0.072820365,-0.013669044
0.060333,-0.011594772
0.06776714,-0.080057815
-0.020625744,-0.15187202
-0.050824445,-0.300118
-0.042768188,-0.07001196
-0.031077102,-0.39658344
0.056301482,-0.1471228
-0.05324734,-0.3933617
0.07870417,-0.28482497
-0.018126806,-0.4632666
0.08659043,-0.4047923
0.026270317,-0.4106179
-0.021190092,-0.4613948
-0.07704842,-0.4565862
0.06895568,-0.24467303
-0.106761396,-0.41097486
-0.0056479983,-0.15195984
-0.026678625,-0.36311388
-0.08254427,-0.24141625
-0.043691363,-0.2262626
-0.10404305,-0.24674635
-0.04281355,-0.089097425
0.038236644,-0.15649223
0.103491865,-0.100069985
0.068640076,-0.08888574
-0.08394868,-0.07555598
-0.09881526,-0.08229622
-0.092992656,-0.15581185
-0.07623774,-0.27192345
-0.09349799,-0.325965
-0.1212733,-0.35893306
-0.1096191,-0.27289358
-0.11927577,-0.44965065
-0.12406598,-0.35852394
-0.12443038,-0.3182328
-0.12293512,-0.28479046
-0.12346467,-0.29829064
-0.12226918,-0.21633428
-0.12093565,-0.2724418
-0.107896544,-0.24525692
-0.092545375,-0.25461656
-0.0946456,-0.25453037
-0.10487223,-0.18415236
-0.09406622,-0.09705265
-0.09765635,-0.016397655
-0.07931,-0.16988242
-0.10348055,-0.06155145
-0.102807835,-0.19141726
-0.09740372,-0.09627308
-0.10809323,-0.13425288
-0.052285954,-0.24894333
-0.033854663,-0.22854763
-0.029777395,-0.34634188
-0.07977163,-0.18043537
-0.04514651,-0.3822649
-0.033190202,-0.16940275
-0.03420538,-0.010921776
-0.09269782,-0.3669521
-0.10162956,-0.2221243
-0.10929122,-0.26681092
-0.114417076,-0.27282503
-0.116479725,-0.19040276
-0.116257325,-0.13055545
-0.11118738,-0.053954184
-0.10660306,-0.12432462
-0.095821396,-0.10541704
-0.011224391,-0.04454793
-0.08785941,-0.1800382
0.043872964,-0.18156795
0.009094034,-0.22738823
-0.01835746,-0.21809143
-0.019726327,-0.20407024
0.0032608914,-0.17965177
-0.029255455,-0.13817099
-0.05658362,-0.15062107
-0.022971772,-0.08069259
-0.034615755,-0.09300798
-0.06604984,-0.16656306
-0.08705653,-0.20673278
-0.0048197214,-0.19387132
0.05332212,-0.20461082
0.019725662,-0.10373482
-0.09297141,-0.45638937
-0.11279297,-0.23442462
-0.03103177,-0.26322895
-0.015059423,-0.37933025
-0.04270008,-0.34457684
-0.09475917,-0.10335967
-0.09654671,-0.15774685
0.059670404,-0.06772366
-0.0004267485,-0.25664493
-0.03305772,-0.20633708
-0.031057557,-0.23907349
-0.047242038,-0.012951806
-0.07907343,-0.22249632
-0.11434445,-0.34007517
-0.09047209,-0.13538532
-0.11144712,-0.3282015
-0.11748644,-0.13056664
-0.09976725,-0.31675404
-0.043042555,-0.124803424
-0.11272495,-0.1524646
-0.10835034,-0.3346562
-0.09903597,-0.41513443
-0.08215432,-0.2505005
-0.06829119,-0.10076305
-0.06838505,-0.4725348
-0.106873065,-0.030075595
-0.10129999,-0.33922857
-0.054660514,-0.06860834
-0.117441975,-0.15127797
-0.11891837,-0.10512689
-0.069706775,-0.071993515
-0.109846964,-0.06733677
-0.10635564,-0.27758408
-0.106211014,-0.023208067
-0.051092334,-0.31260931
-0.0005472081,-0.21880887
0.015128031,-0.078575015
0.010523533,-0.16168684
0.04319228,-0.078110546
-0.06898932,-0.1512776
-0.0029717758,-0.19934176
-0.0063249418,-0.25106698
0.0062000463,-0.26216844
-0.043310694,-0.29390648
-0.087057516,-0.3259764
-0.051839367,-0.13154472
0.057806432,-0.063197345
-0.06107996,-0.028166994
-0.10558324,-0.45893362
-0.08863448,-0.14951134
-0.07186164,-0.15495428
-0.080523945,-0.23836067
-0.049037207,-0.13699618
-0.07740876,-0.13571261
-0.059147518,-0.13136828
-0.056058865,-0.09348558
-0.007958083,-0.14879835
0.010000615,-0.07905376
-0.11481794,-0.08117175
-0.117276005,-0.07833001
-0.09561214,-0.22575115
-0.06684701,-0.061853915
-0.100255914,-0.1025044
-0.009572049,-0.13898456
-0.07458291,-0.13366191
-0.055042244,-0.010932758
-0.11295828,-0.062170148
-0.036338057,-0.05574879
-0.027125498,-0.09988408
-0.046091847,-0.06960839
-0.038362946,-0.019127816
-0.04322963,-0.042175084
-0.05378787,-0.15083735
-0.052859366,-0.06579748
-0.0764435,-0.14157018
-0.06816056,-0.14409965
-0.10176892,-0.07893881
-0.10414083,-0.1572145
-0.08297005,-0.03874989
-0.11036604,-0.13643092
-0.12099747,-0.14108719
-0.12017941,-0.089392856
-0.0628696,-0.017493382
-0.06810692,-0.02856937
-0.019912792,-0.02983062
-0.06348808,-0.04430376
-0.08824037,-0.11993238
-0.092617795,-0.022700086
-0.08240031,-0.27300882
-0.05651721,-0.16259441
-0.03511151,-0.16629463
-0.03702416,-0.036707774
-0.051829245,-0.21628036
-0.069061406,-0.08315407
-0.09507001,-0.33076206
-0.09546271,-0.34735507
-0.10129894,-0.37880725
-0.101306155,-0.36487788
-0.10280434,-0.31849703
-0.09683777,-0.30024302
-0.10750169,-0.17257373
-0.09260575,-0.10582112
-0.059384827,-0.14973043
-0.06968587,-0.11341037
-0.0605132,-0.11026397
-0.019269811,-0.06780267
-0.06444333,-0.105058536
-0.06690587,-0.11701609
-0.041535232,-0.19264069
-0.026363194,-0.14989258
-0.03162109,-0.19990215
-0.058223054,-0.087166876
-0.0030854852,-0.191401
-0.0103154015,-0.088185534
0.045410737,-0.16290265
0.01102572,-0.26352164
-0.008932909,-0.09332214
-0.035843328,-0.3008132
-0.016574606,-0.1490162
0.008129932,-0.2360054
0.032498885,-0.16820157
-0.07081634,-0.30249947
-0.039617177,-0.28476572
-0.06319484,-0.26088247
-0.08513257,-0.2836832
-0.11749924,-0.3557901
-0.1188236,-0.32319683
-0.11657859,-0.2962744
-0.11829546,-0.25025335
-0.117976114,-0.23949729
-0.07612539,-0.07166612
-0.0020238585,-0.121344194
0.021334384,-0.04199682
0.01723868,-0.047291964
0.01279605,-0.043338552
0.05268272,-0.26463968
0.021726912,-0.4022757
0.0054383874,-0.40414613
0.014950324,-0.32326788
0.0276888,-0.23396263
-0.07316653,-0.34037146
