cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
21.433313,5.613936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.433313,0.0,0.0,0.0,0.0,0.0,0.0,3.7419388,9.35587477684021,9.35587477684021,0.0,9.355875,9.355875,9.355875,9.355875,3.7419388,0.0
19.659147,4.8832536,0.0,0.31246832,6.4101644,6.075272,6.075272,0.0,0.0,0.0,0.0,19.659147,0.0,5.6261806,0.0,0.0,0.0,0.0,3.6769533,14.970371007919312,14.970371007919312,0.0,8.895099,8.895099,8.895099,8.895099,3.6769533,0.0
17.562538,4.315687,0.0,0.3235594,3.8072793,3.45912,3.45912,0.0,0.049467158,0.049467158,0.0,17.562538,0.0,3.2284372,0.0,0.0,0.0,0.049467158,3.6596305,11.832064390182495,11.832064390182495,0.0,8.323477,8.323477,8.323477,8.323477,3.6596305,0.0
15.982864,3.9144888,0.0,0.0,3.8632102,3.8632102,3.8632102,0.0,0.43937486,0.43937486,0.0,15.982864,0.0,3.5894868,0.0,0.0,0.0,0.43937486,3.6477017,11.864775359630585,11.864775359630585,0.0,7.56219,7.56219,7.56219,7.56219,3.6477017,0.0
14.311921,3.3774266,0.0,0.0,2.7825537,2.7825537,2.7825537,0.0,1.0245626,1.0245626,0.0,14.311921,0.0,2.5891852,0.0,0.0,0.0,1.0245626,3.713407,10.89794984459877,10.89794984459877,0.0,7.0908337,7.0908337,7.0908337,7.0908337,3.713407,0.0
14.359235,3.434372,0.0,2.6458564,5.1009746,2.2021072,2.2021072,0.0,1.5526471,1.5526471,0.0,14.359235,0.0,2.0467205,0.0,0.0,0.0,1.5526471,3.924264,14.012257874011993,14.012257874011993,0.0,10.2575035,10.2575035,10.2575035,10.2575035,3.924264,0.0
14.928612,3.7502477,0.0,0.7951534,1.3750224,0.513359,0.513359,0.0,0.87070805,0.87070805,0.0,14.928612,0.0,0.4830035,0.0,0.049027205,0.0,0.91973525,4.472855,10.31707701086998,10.31707701086998,0.0,8.93301,9.084767,8.93301,9.084767,4.472855,-0.15175697
20.94578,5.5253654,0.0,3.6038058,3.7620287,0.018342854,0.018342854,0.0,0.27849725,0.27849725,0.0,20.94578,0.0,0.016830646,0.0,0.45928237,0.0,0.7377796,5.544847,14.533133745193481,14.533133745193481,0.0,14.236293,14.813898,14.236293,14.813898,5.544847,-0.5776048
26.249683,7.6315193,0.0,2.080734,1.4890882,-0.7686529,0.0,-0.7686529,0.0039350986,0.0039350986,0.0,26.249683,1.2479565,0.5454366,1.2479565,0.2945124,0.0,0.2984475,6.9145474,14.615912318229675,14.615912318229675,0.0,15.38063,16.80381,15.38063,16.80381,6.9145474,-1.4231776
33.671757,10.259115,0.0,5.76521,6.2068663,0.018342854,0.018342854,0.0,0.59429693,0.59429693,0.0,33.671757,0.0,0.016830646,0.0,0.0,0.0,0.59429693,7.751303,22.34797328710556,22.34797328710556,0.0,21.735334,24.198942,21.735334,24.198942,7.751303,-2.463609
