cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
3.2183087,0.0,0.6140647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.0,10.8,0.0,3.2183087,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.48967037,1.1037351,1.1037351,0.0,1.1037351,1.1037351,0.48967037,-0.0,24.0,24.0,24.0,2.0
2.8667033,0.0,0.53002995,0.0,0.0,0.50337833,0.5033783,0.5033783,0.0,0.13372302,3.2635130344440744,0.43640682,0.0,0.0,0.0,0.0,10.8,0.0,2.8667033,-0.0,0.45932275,-0.0,-0.0,0.0,0.0,0.48590916,1.5193174,1.5193174,0.0,1.0159391,1.0159391,0.48590916,-0.0,24.0,24.0,24.0,2.0
2.605722,0.0,0.48177665,0.0,0.0,0.74524736,0.74524736,0.74524736,0.0,0.3315289,3.2635130344440744,1.0819489,0.0799133,0.0799133,0.0,0.00677532,10.799997444271463,0.07317343913690814,2.605722,-0.0,0.6800235,-0.0,-0.0,0.0,0.0799133,0.48231667,1.7892541,1.7892541,0.0,0.9640934,0.9640934,0.48231667,-0.0,24.0,24.0,24.0,2.0
2.4108207,0.0,0.445741,0.0,0.0,0.0,0.0,0.0,0.0,0.33110762,3.2635130344440744,1.080574,0.0,0.0,0.0,0.0067360457,10.799997444271463,0.07274927638004822,2.4108207,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.47866794,0.9244089,0.9244089,0.0,0.9244089,0.9244089,0.47866794,-0.0,24.0,24.0,24.0,2.0
2.2112756,0.0,0.39315978,0.0,0.0,0.0,0.0,0.0,0.0,0.33068687,3.2635130344440744,1.0792009,0.66903335,0.66903335,0.0,0.064468324,10.799976047733507,0.6962563570292302,2.2112756,-0.0,0.0,-0.0,-0.0,0.0,0.66903335,0.45972544,1.5219185,1.5219185,0.0,0.8528852,0.8528852,0.45972544,-0.0,24.0,24.0,24.0,2.0
3.3582497,0.0,0.62091285,0.0,2.5452676,2.4398627,-0.349532,0.0,-0.349532,0.22740546,3.2635130344440744,0.7421407,0.0,0.0,0.0,0.064094625,10.799976047733507,0.6922204192533638,3.3582497,0.31894106,0.0,0.31894106,-0.0,0.0,0.0,0.47547966,3.5362551,3.5362551,0.0,3.885787,3.885787,0.47547966,-0.0,24.0,24.0,24.0,2.0
2.6028998,0.0,0.49664247,0.0,0.0,0.0,0.0,0.0,0.0,0.22711648,3.2635130344440744,0.7411976,0.0,0.0,0.0,0.06372309,10.799976047733507,0.688207816644174,2.6028998,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.48265406,0.9633542,0.9633542,0.0,0.9633542,0.97929657,0.48265406,-0.015942417,24.0,24.0,24.0,2.0
3.5366263,0.0,0.7207974,0.0,0.0,0.0,0.0,0.0,0.0,0.22682786,3.2635130344440744,0.7402557,0.0,0.0,0.0,0.0633537,10.799976047733507,0.6842184687355688,3.5366263,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.490064,1.1411364,1.1411364,0.0,1.1411364,1.2108614,0.490064,-0.06972503,24.0,24.0,24.0,2.0
5.1703157,0.0,1.1882466,0.0,1.0201325,0.34817463,-0.76980305,0.0,-0.76980305,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.06298646,10.799976047733507,0.6802522950614563,5.1703157,0.70243007,0.0,0.70243007,-0.0,0.0,0.0,0.49292544,1.8490651,1.8490651,0.0,2.618868,2.7991498,0.49292544,-0.18028161,24.0,24.0,24.0,2.0
6.1148996,0.0,1.4667861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.062621355,10.799976047733507,0.6763091346896526,6.1148996,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.5558588,1.7234355,1.7234355,0.0,1.7234355,2.022645,0.5558588,-0.29920948,24.0,24.0,24.0,2.0
7.645502,0.0,2.0644433,0.0,0.9328599,1.0223343,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.06225836,10.799976047733507,0.6723887864549276,7.645502,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4887706,3.2011056,3.2011056,0.0,3.2011056,3.5755482,0.4887706,-0.37444258,24.0,24.0,24.0,2.0
8.272793,0.0,2.507701,0.0,0.20403603,0.22360598,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.061897468,10.799976047733507,0.6684911698911894,8.272793,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.5509908,2.8525589,2.8525589,0.0,2.8525589,3.2822976,0.5509908,-0.42973885,24.0,24.0,24.0,2.0
8.485337,0.0,2.7928457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.06153867,10.799976047733507,0.6646161642992999,8.485337,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.55596226,2.8988106,2.8988106,0.0,2.8988106,3.348808,0.55596226,-0.4499974,24.0,24.0,24.0,2.0
9.410497,0.0,3.152983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.06118195,10.799976047733507,0.6607636087470752,9.410497,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.6218909,3.3251843,3.3251843,0.0,3.3251843,3.7748737,0.6218909,-0.44968936,24.0,24.0,24.0,2.0
10.577857,0.0,3.6816804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.0608273,10.799976047733507,0.6569333825353773,10.577857,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.61704105,3.886819,3.886819,0.0,3.886819,4.2987213,0.61704105,-0.41190237,24.069342,24.0,24.0,2.0
0.08104777,0.0,0.028209116,0.0,0.8919977,0.9775529,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.060474705,10.799976047733507,0.6531253649650682,0.08104777,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.62490237,1.2689074,1.2689074,0.0,1.2689074,1.6306643,0.62490237,-0.36175692,29.509533,24.0,24.0,2.0
0.084419616,0.0,0.028284758,0.0,0.6120875,0.6707953,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.06012415,10.799976047733507,0.649339395103964,0.084419616,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.64935607,1.0715728,1.0715728,0.0,1.0715728,1.3484361,0.64935607,-0.27686337,32.45141,24.0,24.0,2.0
0.16850644,0.0,0.053270295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.059775632,10.799976047733507,0.6455753924859726,0.16850644,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.69287395,0.5687607,0.5687607,0.0,0.5687607,0.74614424,0.69287395,-0.17738356,34.214302,24.0,24.0,2.0
0.25469097,0.0,0.07358994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.05942913,10.799976047733507,0.6418331961789101,0.25469097,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.814931,0.81625146,0.81625146,0.0,0.81625146,0.8885209,0.814931,-0.07226942,34.509014,24.0,24.0,2.0
0.40772536,0.0,0.11009426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.05908464,10.799976047733507,0.6381126854836385,0.40772536,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.7204307,0.8213918,0.8213918,0.0,0.8213918,0.8305249,0.7204307,-0.00913308,33.89086,24.0,24.0,2.0
0.49788663,0.0,0.12148884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.058742143,10.799976047733507,0.6344137397010199,0.49788663,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.85238177,0.97387064,0.97387064,0.0,0.97387064,0.97387064,0.85238177,-0.0,33.466785,24.0,24.0,2.0
0.8357552,0.0,0.19207402,0.0,0.20403601,0.2978339,0.074227944,0.074227944,0.0,0.019718738,3.2635130344440744,0.06435236,0.0,0.0,0.0,0.058401633,10.799976047733507,0.630736238131916,0.8357552,-0.0,0.06773153,-0.0,-0.0,0.0,0.0,0.767959,1.2578669,1.2578669,0.0,1.1836389,1.1836389,0.767959,-0.0,32.891212,24.0,24.0,2.0
1.0657161,0.0,0.22476314,0.0,0.0,0.1440628,0.1440628,0.1440628,0.0,0.057964128,3.2635130344440744,0.1891667,0.0,0.0,0.0,0.058063097,10.799976047733507,0.6270800600771893,1.0657161,-0.0,0.13145445,-0.0,-0.0,0.0,0.0,0.5051088,0.87393475,0.87393475,0.0,0.7298719,0.7298719,0.5051088,-0.0,32.26393,24.0,24.0,2.0
1.1288581,0.0,0.22339831,0.0,0.0,0.69720644,0.69720644,0.69720644,0.0,0.24310416,3.2635130344440744,0.7933736,0.0,0.0,0.0,0.057726525,10.799976047733507,0.6234450848377014,1.1288581,-0.0,0.6361871,-0.0,-0.0,0.0,0.0,0.49955937,1.4201641,1.4201641,0.0,0.7229577,0.7229577,0.49955937,-0.0,31.69098,24.0,24.0,2.0
